Rank,NCTId,BriefTitle,Condition,EligibilityCriteria,DetailedDescription,Keyword,OverallStatus,LocationCity,StartDate,SeeAlsoLinkURL
213,NCT00561561,Sensorimotor Gating in Schizophrenia,Schizophrenia,"Inclusion Criteria:||Diagnosis of a Schizophrenia Spectrum disorder OR no history of Psychiatric Illness||Exclusion Criteria:||History of head injury with loss of consciousness of more than 5 minutes|History of neurological disease (ex. meningitis, encephalitis)|Drug or alcohol abuse within the last 3 months|Hearing loss|Non-correctable vision problems|Current cancer treatment (radiation or chemotherapy currently ongoing)|History of Post Traumatic Stress Disorder|Diagnosis of HIV or AIDS|Uncontrolled diabetes|History of seizures","Patients with schizophrenia have difficulty screening out irrelevant stimuli, and often have the experience of sensory flooding. These ""gating deficits"" may contribute to the thought disorder, cognitive fragmentation and hallucinations which are so debilitating to these individuals. The acoustic startle response is a reflex contraction of the skeletal muscles in response to a sudden acoustic stimulus. It occurs across mammalian species and can be easily measured. The modulation of this reflex by a preliminary nonstartling stimulus is termed prepulse inhibition of acoustic startle (PPI), a paradigm which is used as an operational measure of sensorimotor gating. In consonance with the schizophrenia symptoms that are suggestive of gating deficits, many patients with schizophrenia have deficits in PPI when compared to healthy controls. The brain regions that modulate PPI include the hippocampus and prefrontal cortex, areas that are implicated as being abnormal in schizophrenia. Our prior work and work from other labs suggests that PPI impairment in schizophrenia does not improve with treatment and hence may be a trait related abnormality. Work from our current funding period supports our original hypothesis, namely that impaired PPI exhibits familial association. Specifically, we are finding that PPI in first degree family members of subjects with schizophrenia is impaired. Further work is needed in order to establish that PPI impairment is heritable.||An endophenotype is a measurable trait or phenotype detectable by a biological test. Using an endophenotype rather than presence or absence of disease is a powerful tool in the study of diseases with complex polygenic etiologies such as schizophrenia. Progress in the genetics of schizophrenia is greatly confounded by the difficulty in identifying individuals who carry genes contributing to schizophrenia. Incomplete penetrance and the fact that both heritable and environmental factors interact to produce the disease add to this difficulty. This means that some individuals carrying vulnerability genes for schizophrenia who fail to exhibit robust symptoms will be classified erroneously as unaffected in genetic studies, confounding attempts to reliably define the heritable phenotype. The phenomenon of incomplete penetrance is exhibited by the finding that the risk of schizophrenia is the same for children of affected and nonaffected monozygotic twins. The polygenic etiology of schizophrenia makes it unlikely that a pooled sample of individuals defined by the presence of schizophrenia will greatly overlap in the vulnerability genes that they carry. The goal of the endophenotype approach is to narrow the defined phenotype so that a more homogeneous genotype is expected, making it much more fruitful and to conduct genetic studies.||We hypothesize that impaired PPI will prove to be a heritable endophenotype in schizophrenia. Based on our work accomplished during the current funding period, we now propose to further develop this line of research by conducting a heritability analysis of PPI. Our field is greatly in need of this work as a prelude to endophenotype-based genetic studies. We will accomplish our important goal by collecting and characterizing a cohort of healthy controls and their families, and by expanding our sample of schizophrenia subjects and their families. We will collect diagnostic, symptom, cognitive, pedigree, and PPI data all subjects, and will collect blood and extract DNA for future genetic analyses. We will use a family based strategy to investigate the pattern and degree of heritability of impaired PPI in families of schizophrenia and control probands.||This project will provide the necessary next step in advancing the use of impaired PPI as a powerful tool for the discovery of vulnerability genes contributing to schizophrenia. Currently available treatments for this devastating disorder are sadly inadequate. Our medications are virtually ineffective for a subset of our patients. The discovery of vulnerability genes and of a method for biological subtyping of patients will allow our field to develop genetically informed new treatments that specifically target particular subtypes of patients. This approach is our best hope for bringing relief to patients suffering from this disease.",Schizophrenia|Prepulse Inhibition|Acoustic Startle,Completed,Decatur,June 2001,0
214,NCT05563818,Using Speech to Monitor Symptom Severity in Arabic Speaking Patients With Schizophrenia,Schizophrenia,"Inclusion Criteria:||Aged 18 - 65 years|Confirmed clinical diagnosis of schizophrenia as per the DSM-5 criteria, at any stage of disease.|Planned to receive routine clinical care for schizophrenia in the study site for the next 6 months.|Arabic is first language||Exclusion Criteria:||Illiterate.|Catatonic schizophrenia subtype.|Neurological disorder or major health problem.|Severe substance use disorder using DSM-5 criteria.|Risk to self or others.|Patient with any speech disorder or treated/planned to be treated with any medication known to impact speech (e.g. first-generation antipsychotics)|Patient or family member is unable to provide consent to participate in the study.|Participation in another clinical study.","Speech disorganization is a key feature of schizophrenia. The development of computerized tools to assess speech disorganization is rapidly growing in schizophrenia research. Several early studies showed that changes in speech distinguish schizophrenia patients from healthy controls and assist in differential diagnostics and relapse prevention (1). The Winterlight app can be used for speech collection and assessment and uses speech-based artificial intelligence to identify vocal biomarkers capable of detecting changes in cognitive/clinical symptoms.||Symptom rating scales remain the primary mode of assessing the nature and severity of schizophrenia and the magnitude of any change over time. The Positive and Negative Symptom Scale (PANSS) is a 30-item rating scale that was developed to measure the symptom severity of patients with schizophrenia and assess their dimensions (2). It has been widely used in clinical trials of schizophrenia and is considered as the ""gold standard"" for the assessment of antipsychotic treatment efficacy.||The goal of this study is to test the hypothesis that quantitative measures derived from speech samples acquired using the Winterlight application will be associated with positive and negative symptom subscores as assessed by the PANSS.||The investigators will use speech-based artificial intelligence methods to identify aspects of voice and language that are related to schizophrenia symptoms in Arabic-speaking patients.||Data collected may be used to evaluate:||The relationship between speech measures and PANSS subscores at baseline.|The relationship between changes in speech measures and changes in positive symptoms over time.|The relationship between changes in speech measures and changes in negative symptoms over time.|The ability for speech measures to be used to predict psychotic relapse in individuals with schizophrenia.|The feasibility of predicting relapse based on speech and sociodemographic variables.",Schizophrenia|Schizophrenic Disorders|Mental Disorders|Speech|Voice|Language|Natural Language Processing|Behavioral Symptoms,"Active, not recruiting",Algiers|Cairo|Amman|Jeddah,"November 9, 2021",0
215,NCT00791232,"A Study of Extended Release Extended-release (ER) OROS Paliperidone Tolerability, as Compared to Immediate-release (IR)Risperidone, in Patients With Schizophrenia",Schizophrenia,"Inclusion Criteria:||Willingness to spend 2 weeks as an in-patient during the washout and treatment period|Currently treated with oral risperidone antipsychotic monotherapy for at least 1 month prior to screening|DSM-IV diagnosis of schizophrenia (Patients with a diagnosis of schizophrenia [paranoid type (295.30), disorganized type (295.10), catatonic type (295.20), undifferentiated type (295.90), or residual type (295.60)] as defined by DSM-IV criteria|Absence of acute exacerbation for a minimum of 6 months prior to screening|Female patients must be postmenopausal for at least 1 year, surgically sterile, or practicing an effective method of birth control (e.g., prescription oral contraceptives, contraceptive injections, intrauterine device, double-barrier method, contraceptive patch, male partner sterilization) before screening and throughout the study, and have a negative urine pregnancy test at screening and baseline|The patient is otherwise healthy on the basis of a physical examination, medical history, electrocardiogram, and the results of blood biochemistry and hematology tests and a urinalysis performed within 30 days of the start of the treatment period. If the results of the biochemistry or hematology tests or the urinalysis testing are not within the laboratory's reference ranges, the patient may be included only on condition that the investigator judges that the deviations are not clinically significant.||Exclusion Criteria:||Involuntarily committed in-patients|Patients who have received long-acting depot antipsychotic medication (discontinued RISPERDAL CONSTA for less than 10 weeks or discontinued other depots for less than 2 cycles)|Any significant history of cardiovascular disease: atrial fibrillation or flutter, second and third degree heart block and equivalent, resting supraventricular tachycardia (>100 beats per minute), unstable atherosclerotic heart disease, valvular abnormality|Body Mass Index > = 35 kg/m2 or a history of or current hypertension|Use of disallowed concomitant therapy or patients likely to require prohibited concomitant therapy during participation in the study|Patients with a pacemaker|Concomitant disease of the central nervous system that would bias the study evaluations, e.g.|stroke, brain tumor, Parkinson's disease, significant brain trauma, Alzheimer's disease, epilepsy, multiple sclerosis, currently-treated migraine|A DSM-IV Axis I diagnosis other than schizophrenia or with a DSM-IV diagnosis of substance dependence within 6 months prior to screening evaluation (nicotine and caffeine dependence are not exclusionary)|Diabetes mellitus and/or repeated fasting blood glucose value during the washout period >126 mg/dl and /or HbA1C > 7. 5%, hypothalamo-hypophyse dysfunction, Cushing, Addison, thyrotoxicosis, or Anemia (as defined by hematocrit < 30%)|Suicidal or homicidal ideation|Positive drug screen at screening and at baseline","This is a randomized, double-blind, placebo- and active-controlled, parallel group, Phase 1. The study in patients with schizophrenia consists of a 1 week, open-label, placebo washout period (Days -7 to -1) and a 6 day double-blind treatment period during which patients will receive 1 of 3 treatments: placebo on Day 1 and ER OROS paliperidone (12 mg) on Days 2 to 6, ER OROS paliperidone (12 mg) on Days 1 to 6, or IR risperidone 2 mg on Day 1 and 4 mg on Days 2 to 6. Safety and tolerability will be monitored throughout the study.. ER OROS paliperidone (12 mg, oral) on Days 2 to 6, ER OROS paliperidone (12 mg, oral) on Days 1 to 6, or IR risperidone (oral) 2 mg on Day 1 and 4 mg on Days 2 to 6","Extended-release paliperidone|Schizophrenia, Mood disorders, Antipsychotic drugs|ER OROS paliperidone",Completed,0,March 2003,http://filehosting.pharmacm.com/DownloadService.ashx?client=CTR_JNJ_6051&studyid=576&filename=CR004273_CSR.pdf
216,NCT03652974,Disturbance of Plasma Cytokine Parameters in Clozapine-Resistant Treatment-Refractory Schizophrenia (CTRS) and Their Association With Combination Therapy,Schizophrenia,"Inclusion Criteria:||The diagnosis of schizophrenia according to Diagnostic and Statistical Manual of Mental Disorders, Fourth Edition (DSM-IV)|18～60 years old|Clozapine resistance was defined as used at least two antipsychotics with different chemical structures with appropriate dosages for a sufficient duration, and recently have received stable dose of clozapine 400 mg or more per day for at least 6 months.|Signed an informed consent||Exclusion Criteria:||Patients to be diagnosed according to Diagnostic and Statistical Manual of Mental Disorders, Fourth Edition (DSM-IV) for substance abused, development delayed|Suffering from serious physical disease and can not accept the treatment|Allergic to sodium valproate, amisulpride, propofol, succinylcholine or atropine|Participated in any clinical subject within 30 days|Pregnancy or lactation|Inability to sign informed consent because of capacity due due to severe mental illness, significant psychomotor agitation or slowness test completion","Schizophrenia is one of the most serious mental illnesses worldwide that affects approximately 1% of the worldwide population and result in a heavy economic burden to affected family. Antipsychotics are the main stay of treatment of schizophrenia, however, there are still approximately 1/3 schizophrenia patients who does not responded to the antipsychotic agents, and these patients easily develop into treatment-refractory schizophrenia (TRS).||Clozapine is the only evidence based effective medication for treatment-refractory schizophrenia (TRS). In spite of its prominent efficacy, approximately 1/3-2/1 treatment-refractory schizophrenia (TRS) treated with clozapine still present with significant residual psychotic symptoms and negative symptoms. As such, over time, clinicians struggled to find strategies to improve outcome by augmenting the concomitant psychiatric treatments, including not only combining antipsychotics but also combining a mood stabilizer or electroconvulsive therapy (ECT).||Clozapine is an antipsychotic drug with multi receptor blocking effect and has a low affinity for dopamine D2. Studies of traditional antipsychotics have suggested that maximal efficacy occurs with dopamine D2 occupancy of 70% or more, while clozapine's dopamine D2 occupancy levels less than 60%. Amisulpride has a highly selective blocking effect on dopamine D2 and dopamine D3 receptors and has no affinity for any other known receptors. Its unique dopamine receptor blocking effect may selectively enhances the limited dopamine D2 blocking effect of clozapine, making it possible to be a suitable and effective drug for combination with clozapine. A number of promising studies that have augmented clozapine with amisulpride, have shown psychiatric symptoms improvement in TRS versus those on clozapine alone.||Both electroconvulsive therapy (ECT) and antiepileptic drugs, such as sodium valproate, shares anticonvulsant properties and anticonvulsant effect relate to clinical efficacy. In 1983, Sackeim et al. pointed out that electroconvulsive therapy (ECT)-induced cortical gamma-aminobutyric-acid (GABA) depletion may be the reason for its anticonvulsant action. In addition, the effect of electroconvulsive therapy (ECT) on the gamma-aminobutyric-acid (GABA) system was confirmed by several studies. Interestingly, it has been reported that the therapeutic effect of sodium valproate combined with antipsychotics is closely related to gamma-aminobutyric-acid (GABA) system.||Growing evidence suggests that the immune, endocrine, and nervous systems interact with each other through cytokines, hormones, and neurotransmitters. The activation of the immune system may be involved in the neuropathological changes occurring in the central nervous system. Among several components of immune pathogenesis, aberrant cytokine signaling is considered as one of the key contributors. Many cytokines have been speculated to be involved in the pathological process of schizophrenia. IL-2 acts as a growth factor for T cells, NK cells and B cells, abnormalities of IL-2 serum levels or its production were found in acute schizophrenia cases. IL-6 is an inflammatory cytokine, which plays significant role in neurobiological functions like neuronal differentiation and survival, synaptic transmission and brain morphometry. The abnormal expression of IL-6 can be found in both first-episode and chronic schizophrenia. TNF-α is one of the most important pro-inflammatory cytokines, which expressed mainly by macrophages. Previous studies have found that the expression of TNF-α is abnormal in patients with schizophrenia.||The primary objective of this study was to compare the efficacy and safety between sodium valproate, amisulpride and MECT combination therapy in clozapine-treated refractory schizophrenia during a 12 weeks period. In addition, the effect of combined therapy on plasma cytokines (IL-2, IL-6 and TNF-α) will be evaluated.","Schizophrenia， clozapine， amisulpride, valproate， ECT, cytokine",Completed,Shanghai,"September 6, 2018",0
218,NCT00827918,A Study to Test the Safety and Efficacy of MK-8998 in Acutely Psychotic Participants With Schizophrenia (MK-8998-004),Schizophrenia,"Inclusion Criteria:||Patient's age is 18 to 55|Patient meets DSM-IV/DSM-IV-TR criteria for a primary diagnosis of schizophrenia|The duration of the patients schizophrenia diagnosis must be greater than 1 year|Patient has an acute exacerbation of psychotic symptoms (of at least 3 days but no longer than 6 weeks) and marked deterioration of function||Exclusion Criteria:||Patient currently has a clinically significant neurological, metabolic, hepatic, renal, hematological, pulmonary, cardiovascular, gastrointestinal, and/or urological disorder that would pose a risk to the patient in the opinion of the investigator if they were to participate in the study or that might confound the results of the study|The patient has evidence of acute hepatitis, clinically significant chronic hepatitis, or impaired hepatic function|The patient has a chronic organic disease of the central nervous system (other than schizophrenia) such as, tumors, inflammation, active seizure disorder, vascular disorder, Parkinson's disease, Alzheimer's disease or other forms of dementia, myasthenia gravis, or other degenerative processes. In addition, patients must not have a history of mental retardation or persistent neurological symptoms attributable to serious head injury|Patient has a history of alcohol/drug dependence within 3 months or alcohol/drug abuse within 1 month of screening. Exceptions include caffeine and nicotine abuse/dependence|Patient has a history of hypersensitivity to olanzapine OR poor response to olanzapine in the last 2 years OR intolerable side effects due to olanzapine OR patients current psychotic relapse occurred while consistently taking a therapeutic dose (10 mg or more) of olanzapine OR olanzapine is medically contradicted|Patient is refractory to antipsychotic treatment",0,Acute Exacerbation of Schizophrenia,Completed,0,March 2009,0
219,NCT01086748,A Study in Schizophrenia Patients,Schizophrenia,"Inclusion Criteria:||Diagnosis of schizophrenia as defined in the Diagnostic and Statistical Manual of Mental Disorders, Fourth Edition, Text Revision (DSM-IV-TR; APA 2000) (Disorganized, 295.10; Catatonic, 295.20; Paranoid 295.30; or Undifferentiated, 295.90) and confirmed by the Structured Clinical Interview for DSM-IV-TR (SCID).|Non pregnant female patients who agree to use acceptable birth control|At entry to the study must be considered moderately ill in the opinion of the investigator|Willing to participate in a minimum of 3 weeks of inpatient hospitalization and this must be appropriate for the patient in the clinical judgment of the investigator.|1 year history of Schizophrenia prior to entering the study|At study entry patients with a history of antipsychotic treatment must have a lifetime history of at least one hospitalization for the treatment of schizophrenia, not including the hospitalization required for study. Patients who have never taken antipsychotic treatment may enter the study even without a history of hospitalization.|At study entry patients with a history of antipsychotic treatment must have a history of at least one episode of illness exacerbation requiring an intensification of treatment intervention or care in the last 2 years, not including the present episode of illness. Patients who have never taken antipsychotic treatment may enter the study without a past history of illness exacerbation and intensification of treatment in the last 2 years.|At study entry patients must have experienced an exacerbation of illness within the 2 weeks prior to entering the study, leading to an intensification of psychiatric care in the opinion of the investigator. If exacerbation occurs in patients who are presently hospitalized, the patient must not have been hospitalized longer than 60 days at entry of the study||Exclusion Criteria:||Participated in any clinical trial with any pharmacological treatment intervention for which they received a study-related medication in the 6 months prior to visit 1|Previously completed or withdrawn from this study, or any other study investigating LY2140023 or any predecessor molecules with glutamatergic activity.|Treatment with clozapine at doses greater than 200 mg daily within 12 months prior to entering the study, or who have received any clozapine at all during the month before entering the study|Patients currently receiving treatment (within 1 dosing interval, minimum of 4 weeks, prior entering the study) with a depot formulation of an antipsychotic medication.|Patients who are currently suicidal.|Females who are pregnant, nursing, or who intend to become pregnant within 30 days of completing the study.|Patients with uncorrected narrow-angle glaucoma, uncontrolled diabetes, certain diseases of the liver, renal insufficiency, uncontrolled thyroid condition or other serious or unstable illnesses|Have a history of one or more seizures, except for those who experienced a single simple febrile seizure between ages 6 months and 5 years|Patients are excluded if their, biological father, mother, brother, sister, or child has a history of idiopathic epilepsy.|Within 1 year of study enrollment, patients have a history of central nervous system infection, uncontrolled migraine, transient ischemic attack (TIA), or head trauma with loss of consciousness or a post-concussive||Patients are excluded if they have a lifetime history of any of the following:||head trauma, stroke, or CNS infection with persistent neurological deficit (focal or diffuse);|brain surgery;|an electroencephalogram with paroxysmal (epileptiform) activity, or|brain structural lesion, including developmental abnormalities, as determined by examination or previous neuroimaging studies that are consistent with a diagnosable neurological disease or syndrome.|Electroconvulsive therapy (ECT) within 3 months of entering the study or who will have ECT at any time during the study.|Leukopenia|Medical history of Human Immunodeficiency Virus positive (HIV+) status.|Higher than normal blood prolactin levels|Certain electrocardiogram results",0,0,Completed,Escondido|Garden Grove|Paramount|Washington|Fort Lauderdale|Hollywood|Atlanta|Chicago|Hoffman Estates|Lake Charles|Shreveport|Flowood|Creve Coeur|Cedarhurst|Rochester|Philadelphia|Austin|Desoto|Houston|Zagreb|Khotkovo|Lipetsk|Moscow|Nizhniy Novgorod|Saint Petersburg|Samara|Saratov|Yaroslavl,March 2010,0
220,NCT02675530,Parallel Effects of Schizophrenia and N-methyl-D-aspartate (NMDA) Antagonism,Schizophrenia,"Subjects for the Ketamine experiment(Healthy control experiment):||Inclusion Criteria:||Male or female|21-45 years old|Deemed healthy by the Structured Clinical Interview for DSM-NP (SCID-NP) and collateral information. Subjects will need to provide the name of a person, preferably a family member, whom the research team can contact to corroborate information.||Exclusion Criteria:||Lifetime diagnosis of DSM-IV substance dependence (except caffeine and nicotine).|Substance abuse, as per clinical judgment, in the past 1 year.|Current or past DSM-IV Axis-I diagnosis.|A history of significant medical/neurological disease such as cardiac, thyroid, renal, hepatic or neurological. Unstable medical condition based on EKG, vital signs, physical examination and laboratory work-up.|A hearing deficit greater than 30 dB in both ears detected using a Welch-Allyn audioscope (500, 1000, 2000 and 4000 Hz threshold will be evaluated) at screening.|Major current or recent (<6 weeks) stressors.|History of counseling, except if counseling was for a life circumstance disorder (e.g., bereavement, divorce) or in the opinion of the investigator, is not clinically significant.|Lifetime history of treatment with any psychotropic medications for > 1 month duration suggestive of psychiatric illness.|Current or past Axis I diagnosis of schizophrenia or bipolar disorder in first-degree relatives.|Any medication that could interfere with either the safety of the study and/or the outcome measures.|Use of any illicit substances in the 4 weeks prior to beginning study participation.|Any history indicating learning disability, mental retardation, or attention deficit disorder.|History of head injury with loss of consciousness greater than fifteen minutes.|Any other condition or medication, which in the opinion of the investigator would preclude participation in the study.|Non-English speaking.|Known sensitivity to ketamine.||Subjects for the Schizophrenia experiment:||Inclusion Criteria for control subjects:||Male or female|21-45 years old|No past or present Axis I diagnosis, as determined by the SCID-NP||Exclusion Criteria for control subjects:||Lifetime diagnosis of DSM-IV substance dependence (except caffeine and nicotine).|Substance abuse, as per clinical judgment, in the past 1 year|A history of significant medical/neurological disease such as cardiac, thyroid, renal, hepatic or neurological.|A hearing deficit greater than 30dB in both ears detected using a Welch-Allyn audioscope (500, 1000, 2000 and 4000 Hz threshold will be evaluated) at screening.|Axis I diagnosis of schizophrenia or bipolar disorder in first-degree relatives.|History of head injury with loss of consciousness greater than fifteen minutes|Any other condition or medication, which in the opinion of the investigator would preclude participation in the study.|Non-English speaking.||Inclusion Criteria for patients:||Male or female|21-45 years old|Diagnosed with DSM-IV schizophrenia based on a SCID-IP interview for patients.|Stable dose of antipsychotic medications for at least 2 weeks prior to beginning study participation.|Score either in the 1-3 (high functioning) range or in the 5-7 (low functioning) range of the Global Functioning Scale from the MSIF based on a screening interview.||Exclusion Criteria:||Lifetime diagnosis of DSM-IV substance dependence (except caffeine and nicotine).|Substance abuse, as per clinical judgment, in the past 1 year|A history of significant medical/neurological disease such as cardiac, thyroid, renal, hepatic or neurological.|A hearing deficit greater than 30dB in both ears detected using a Welch-Allyn audioscope (500, 1000, 2000 and 4000 Hz threshold will be evaluated) at screening.|History of head injury with loss of consciousness greater than fifteen minutes.|Any other condition or medication, which in the opinion of the investigator would preclude participation in the study.||Non-English speaking.||-",0,NMDA|glutamate|schizophrenia,Completed,West Haven,December 2007,0
221,NCT02880462,A 6-month Study to Evaluate Sulforaphane add-on Effects in Treatment of Schizophrenia,Schizophrenia,"Inclusion Criteria:||Meet The Diagnostic and Statistical Manual (DSM-V) diagnostic criteria for schizophrenia|First onset or duration of illness less than 3 years with current symptoms exacerbation|Hospitalized in an acute episode (first hospitalization), or subsequent hospitalization or acute relapse)|Male and female with aged 18 to 50 years|PANSS total >=75 at 2 weeks. .|Signed the study consent for participation||Exclusion Criteria:||having history of substance dependence or abuse or whose symptoms are caused by the other diagnosable mental disorders;|having history of traumatic brain injury, seizures or other known neurological or organic diseases of the central nervous system;|taking antidepressants, stimulants, mood stabilizer or accepts electricity shock treatment;|having current suicidal or homicidal thoughts or any safety concern by research staff that cannot be manage in an inpatient setting;|the routine blood tests showing abnormal renal, liver function or other metabolic results .|pregnant or lactating women","This study will be carried out in six mental health institutes in China and total of 180 patients with first-episode or early onset schizophrenia will be enrolled into the study. The mental health institute at the Second Xiangya Hospital, Central South University.||Individuals who participate in the study will be followed for 24 weeks. The changes in clinical symptoms and neurocognitive function will be assessed from baseline (week-2) to week-6 (acute phase), and week-12 to week-24 (maintenance phase).",schizophrenia|sulforaphane,Completed,0,"December 26, 2016",0
222,NCT00439634,Efficacy and Safety of AVE1625 as a Co-treatment With Antipsychotic Therapy in Schizophrenia,Schizophrenia,"Inclusion Criteria:||Outpatients with diagnosis of schizophrenia (diagnosed ≤ 35 years of age).|Current treatment consisting exclusively of olanzapine, risperidone/paliperidone, quetiapine or aripiprazole monotherapy for at least 2 months.||Exclusion Criteria:||Inpatient hospitalization within past 3 months.|Residence at the current address < 3 months due to any instability in the disease.|Presence of depressive symptoms.|Past history of clinically significant violent behavior.|Substance dependence or abuse.|Pregnant or breast-feeding women or women not protected by effective contraceptive method of birth control.||The investigator will evaluate whether there are other reasons why a patient may not participate.",0,psychometrics|schizophrenia,Terminated,Bridgewater|Laval,February 2007,0
223,NCT05449977,"Evaluation of Physical Activity, Physical Fitness, and Quality of Life in Patients With Schizophrenia",Schizophrenia,"Inclusion Criteria:||Individuals diagnosed with schizophrenia by a physician according to DSM-5 criteria|Patients treated at CMHC|Individuals with schizophrenia who are 18 years or older|Patients without other comorbid psychiatric disorders|Patients who can communicate and collaborate|Patients who agreed to participate in this study and gave informed consent||Exclusion Criteria:||Those who did not give consent to participate in the study|Patients with a diagnosis other than schizophrenia|Pregnancy|Patients with chronic metabolic diseases such as diabetes, heart problems and cancer","Mental health is defined (according to the World Health Organization) as a state of well-being in which a person can realize his/her abilities, coping with the normal stresses of life, and supporting society by working efficiently and productively. In other words, mental health is a dynamic internal balance that enables individuals to use their diversity of skills in harmony with the universal values of the society. For example, it is the flexibility and ability to cope with negative life experiences and social functioning and the harmonious connection between body and mind. To be more concrete, mental health includes different components of life, for example in terms of relationships, good relationships with friends and family, the ability to talk about feelings. Examples of leisure activities include taking up a hobby, exercising regularly, and routinely taking vacations. It is also important to maintain a lifestyle that consists of having a nutritious and regular diet, not smoking and using over-the-counter drugs, and achieving at least some goals in life.||Mental disorders involve a wide variety of problems. Mental disorders are often characterized by a combination of abnormal thoughts, behaviors, emotions, and relationships with other people. Mental disorders include: depression, drug use disorders, mental disabilities, bipolar disorder and schizophrenia.||Schizophrenia is a chronic mental disorder characterized by the appearance of both positive symptoms such as hallucinations and delusions and negative symptoms such as apathy and withdrawal, repetition of cognitive skills and disorganization. The number of schizophrenic patients in the world is approximately 20 million and this number will continue to increase every year. According to a systematic review of general population studies, the lifetime median prevalence of schizophrenia in Turkey was found to be 8.9 per 1000 people. In addition, schizophrenia patients have irregular self-esteem, inability to maintain social relationships, deterioration in cognitive skills, and sedentary behaviors in their daily lives. Sedentary behavior in patients with schizophrenia will increase the risks of cardiovascular and obstructive pulmonary disease, diabetes mellitus (especially type 2), cancer that can contribute greatly to death and disability. Therefore, it was found that patients with schizophrenia have a shorter life expectancy of 10-20 years compared to the general population.||It has been found that people with schizophrenia are less physically active and less physically fit than the general population. Physical activity means any bodily movement produced by skeletal muscles that results in energy expenditure. Exercise is a subset of physical activity, which is planned, structured and repetitive bodily movements performed to increase and maintain one or more aspects of physical fitness. Physical fitness can be defined as a set of independent qualities associated with the ability to perform physical activities. Components such as cardiorespiratory fitness, muscle strength, muscular endurance and flexibility are more related to health, while components such as coordination and whole-body balance are more related to the performance of physical activities.||There is an inverse relationship between sedentary behavior (related to time spent lying or sitting) and physical activity level in patients with schizophrenia. In addition, physical activity has a direct relationship with physical fitness and physical health in patients with schizophrenia. In addition, one study showed that poor physical activity level and poor physical fitness had a negative effect on the ability of schizophrenia participants to perform activities of daily living performance causes a decrease in the quality of life in these patients. According to the World Health Organization, quality of life is defined as individuals' perceptions of their position in life in the context of the value systems and culture in which they live and in relation to their goals, expectations, standards and concerns. Quality of life is a subjective, multidimensional term defined as a standard level for physical, emotional, material and social well-being.||Community Mental Health Centers are State institutions that provide treatment and rehabilitation services to patients with certain mental health diseases outside the hospital and within the scope of State Hospitals. Community Mental Health Centers (CMHC) were opened in 2011 by the Ministry of Health in Turkey. Patients diagnosed with serious chronic mental disorders such as depression, drug use-related disorders, mental disabilities, bipolar disorder and especially schizophrenia are treated. The aim of these centers is to improve functional recovery, physical activity level and quality of life and integrate it into daily life, society and business life. It consists of a very comprehensive team of different professionals, such as physicians, psychologists, social workers, and nurses.||Schizophrenic patients are treated in a community mental health center with a comprehensive treatment program. The content of the comprehensive rehabilitation program in community mental health centers includes: Psychosocial skills training / occupational treatments such as painting, music, and also these are done according to the patient's condition / psycho-education for patients and their families (information about the disease and treatment, methods of coping with symptoms are explained) training is provided on issues such as illness, crisis management of patients and their relatives), social skills training (patients who cannot participate in social life due to their illness are given training to gain the ability to reorganize human relations) and group treatment is provided for suitable patients.||Evaluation of physical activity levels, physical fitness, and quality of life of patients with schizophrenia is essential to confirm the effectiveness of treatments and care activities at CMHCs and to plan new therapeutic and rehabilitative activities. In one study, they found that the level of physical activity - physical fitness has a positive effect on psychiatric services and can improve the physical health outcomes of people with schizophrenia. They also reveal improvement in psychological and social outcomes in these patients. Therefore, physical activity level and physical fitness are critical parameters of the biopsychosocial approach in recovery-oriented mental health services. In conclusion, our study aims to decide on physical activity, physical fitness and quality of life levels among a group of patients with schizophrenia treated at CMHC and to evaluate the relationship between these three important treatment parameters.||The aim of this study is to evaluate schizophrenic patients who benefit from community mental health center services in terms of physical activity, physical fitness and quality of life. Therefore, given the importance of our study, our findings may contribute to the literature and improvement for mental health systems for people with psychotic disorders, especially schizophrenia. As a result of this study, an evaluation can be made in terms of physical activity, physical fitness and quality of life in schizophrenic patients who receive service from a community mental health center. According to this study, it will be possible to contribute to the effectiveness of treatments and care activities in CMHCs for patients with schizophrenia.",Schizophrenia|Physical Activity|Physical fitness|Quality of life,Completed,İstanbul,"July 6, 2022",0
